Revelations,Source documents & publications,Intelligence agencies,Countries,Type of collaboration,Target of collaboration
GCHQ and NSA aim for global coverage of in-flight phone data,https://freesnowden.is/revelations#gchq-and-nsa-aim-for-global-coverage-of-inflight-phone-data ,"NSA, Five Eyes",Global,The NSA planned to collect global in-flight communications data and to share it with Five Eyes partners,Flight passengers
GCHQ's Oman base and the corporate partners behind Tempora,https://freesnowden.is/revelations#gchqs-oman-bases-and-the-corporate-partners-behind-tempora ,GCHQ,"Oman, UK, U.S.",The GCHQ has a number of bases in Oman which tap directly into 9 undersea cables. Such data was subsequently shared with the NSA.,Public
Data used to kill terrorist suspects is intercepted in Germany,https://freesnowden.is/revelations#data-used-to-kill-terrorist-suspects-intercepted-in-germany ,"NSA, BND",Germany,Germany provided intelligence to the NSA which was used to “arrest or kill more than 40 terrorists”,Suspected terrorists
BND works together with NSA on Special Source Operations,https://freesnowden.is/revelations#bnd-works-together-with-nsa-on-special-source-operations ,"NSA, BND",Germany,The NSA and BND collaborate on the Special Source Operations. The NSA has provided the BND access to XkeyScore and the two agencies jointly had staffed projects at Germany's Bad Aibling base.,Public
Third party countries allow NSA access to internet backbone,https://freesnowden.is/revelations#third-party-countries-allow-nsa-access-to-internet-backbone ,"NSA, Intelligence agencies from “third party countries”","US, UK, Australia, New Zealand, Canada, Algeria, Austria, Belgium, Croatia, Czech Republic, Denmark, Ethiopia, Finland, France, Germany, Greece, Hungary, India, Israel, Italy, Japan, Jordan, Korea, Macedonia, Netherlands, Norway, Pakistan, Poland, Romania, Saudi Arabia, Singapore, Spain, Sweden, Taiwan, Thailand, Tunisia, Turkey, UAE",The NSA's “unconventional special access program” relies on third party countries (rather that on the Five Eyes) which provide it direct access to fibre optic cables.,Public
NSA advising Saudi Arabia on “internal security”,https://freesnowden.is/revelations#nsa-advising-saudi-arabia-on-internal-security ,"NSA, Saudi Ministry of Interior (MOI)",Saudi Arabia,The NSA “had an interest in Saudi Arabia's regime continuity” and provided Saudi Arabia's Ministry of Interior technical assistance and training. ,Public
NSA supports Israeli surveillance of Palestinians,https://freesnowden.is/revelations#nsa-supports-surveillance-of-palestinians ,"NSA, ISNU","Israel, Palestine, Jordan",The NSA supported Israel's ISNU with intelligence on Palestinians. Much of the NSA's intelligence was gathered from Jordan's Electronic Warfare Directorate and from the Palestinian Authority Security Forces. ,Palestinians
Five Eyes port scanning entire countries,https://freesnowden.is/revelations#five-eyes-port-scanning-entire-countries ,Five Eyes,Global,The Five Eyes share information between them which they collect by scanning entire countries for vulnerable computer systems. ,Administrative and public facing services around the world.
NSA aids Turkey in lethal operations against Kurdish separatists,https://freesnowden.is/revelations#nsa-aids-turkey-in-lethal-operations-against-kurdish-separatists ,"NSA, MIT",Turkey,The NSA provided intelligence to Turkey in its operations against Kurdish separatists. ,"Kurdish separatists, PKK leaders inside and outside Turkey."
NSA and GCHQ targeted SIM card manufacturer and seized encryption keys,https://freesnowden.is/revelations#nsa-gchq-targeted-sim-card-manufacturer ,"NSA, GCHQ",Global,"The NSA-GCHQ joint unit called the Mobile Handset Exploitation Team broke into the internal network of Gemalto, the world's largest SIM card manufacturer","Public, Employees of major telecoms networks "
New Zealand spying on its neighbourhood for the Five Eyes,https://freesnowden.is/revelations#new-zeland-spying-neighbourhood-five-eyes ,"GCSB, Five Eyes","New Zealand, South Pacific","New Zealand's GCSB shared Asia-Pacific communications it collected with its Five Eyes partners, by making them available through Xkeyscore.",New Zealand's Pacific neighboring countries
Inside Ironsand: New Zealand's Five Eyes spy base,https://freesnowden.is/revelations#inside-ironsand ,"GCSB, Five Eyes",New Zealand,New Zealand's satellite interception station (codenamed IRONSAND) is linked into the Five Eyes network. ,Public
New Zealand spies on – and with – Bangladesh,https://freesnowden.is/revelations#new-zealand-spies-on-with-bangladesh ,"GCSB, Bangladeshi authorities","New Zealand, Bangladesh",New Zeland's GCSB shared intelligence data with Bangladeshi authorities who have been implicated in torture and politically motivated killings. ,Public
New Zealand's spies plotted China hack with the NSA,https://freesnowden.is/revelations#new-zealand-plotted-china-hack-with-nsa ,"GCSB, NSA","New Zealand, China","The GCSB planned to tap a Chinese diplomatic data connection in New Zealand to gain access to China's computer systems, which would have aided the NSA's intelligence gathering if it was infact carried out. ",Chinese diplomatic data connection in New Zealand
Spy agencies planned to implant spyware on phones using app stores,https://freesnowden.is/revelations#spy-agencies-planned-implant-spyware-phones-app-stores,Five Eyes,Global,A joint Five Eyes unit planned to infect smartphones with spyware by exploiting mobile phone browsers and data links to Google and Samsung app stores,Public
Sweden's FRA spies on Russian leadership for the NSA,https://freesnowden.is/revelations#swedens-fra-spies-on-russian-leadership-for-the-nsa ,"FRA, NSA","Sweden, Russia",Sweden's FRA was one of the NSA's “primary partners” in obtaining information on Russian targets.,Russian leadership and counterintelligence
