Revelations,Check,Source documents & publications,Intelligence agencies,Countries,Authorisation for surveillance,Codename of surveillance programme(s),Type of surveillance,Type of data collected,Data collection source
"Italian leadership, embassy and public targeted by the NSA",done,https://freesnowden.is/revelations#italian-leadership-embassy-and-public-targeted-by-the-nsa ,NSA,Italy,FISA Amendments Act 2008,Boundless Informant,"Data collection, Data mining",Metadata of phone calls,Communications networks
"Sweden's FRA engages in offensive operations, has access to XKeyScore",done,https://freesnowden.is/revelations#swedens-fra-engages-in-offensive-operations-has-access-to-xkeyscore ,"FRA, NSA",Sweden,FISA Amendments Act 2008,XkeyScore,"Content data and metadata collection, Searches “nearly everything a user does on the internet”, Data mining","Content and metadata of emails, Social media activity, browsing history, online chats","Fibre-optic cables, gateway switches, data networks"
NSA and others can listen in on GSM phone conversations,done,https://freesnowden.is/revelations#nsa-and-others-can-listen-in-to-gsm-phone-conversations ,NSA,Global,,,Cracking A5/1 encryption used in most GSM (2G) phone communications,"Cellphone signals, Encrypted conversations have potentially been decoded ",GSM (2G) networks
200 million text messages a day collected and analysed,done,https://freesnowden.is/revelations#200-million-text-messages-a-day-collected-and-analysed ,"NSA, GCHQ",Global,,"DISHFIRE, PREFER","Data collection, Data analysis, Contact-chaining, Analytics ","Content data and metadata of SMS text messages, Financial transactions, Credit card details, Money transfers, Flight itineraries, Location data, Contact networks",Telecommunications networks
US wanted spying on Germany kept secret until 2086,,https://freesnowden.is/revelations#us-wanted-spying-on-germany-kept-secret-until-2086 ,NSA,Germany,,,,,
Personal data from “leaky” smartphone apps targeted by NSA and GCHQ,,https://freesnowden.is/revelations#personal-data-from-leaky-smartphone-apps-targeted-by-nsa-and-gchq ,"NSA, GCHQ",Global,,,,,
GCHQ monitoring and manipulating social media activity in real time,,https://freesnowden.is/revelations#gchq-monitoring-and-manipulating-social-media-activity-in-real-time ,GCHQ,Global,,,,,
Airport wifi used to track Canadian air travellers,,https://freesnowden.is/revelations#airport-wifi-used-to-track-canadian-air-travellers ,CSEC,Canada,,,,,
How GCHQ uses “dirty tricks” against its targets,,https://freesnowden.is/revelations#how-gchq-uses-dirty-tricks ,GCHQ,Global,,,,,
ASD violates legal privilege and shares data with NSA,,https://freesnowden.is/revelations#asd-violates-legal-privilege-and-shares-data-with-nsa ,"ASD, NSA",Australia,,,,,
GCHQ engages in misinformation campaigns and subverts online discourse,,https://freesnowden.is/revelations#gchq-engages-in-misinformation-campaigns-and-subverts-online-discourse ,GCHQ,Global,,,,,
Webcam images intercepted and retained by GCHQ,,https://freesnowden.is/revelations#webcam-images-intercepted-and-retained-by-gchq ,GCHQ,Global,,,,,
NSA agony aunt reveals officials' own concerns about mass surveillance,,https://freesnowden.is/revelations#nsa-agony-aunt-reveals-officials-own-concerns-about-mass-surveillance ,NSA,US,,,,,
How the FISA Court developed secret legal doctrine allowing mass surveillance,,https://freesnowden.is/revelations#how-the-fisa-court-developed-secret-legal-doctrine-allowing-mass-surveillance ,NSA,US,,,,,
NSA storing entire countries' phone communications for 30 days,,https://freesnowden.is/revelations#nsa-storing-entire-countries-phone-communications-for-30-days ,NSA,Global (including Kenya),,,,,
2013 FISA Court order authorised spying on communications related to “Germany”,,https://freesnowden.is/revelations#2013-fisa-court-order-authorised-spying-on-communications-related-to-germany ,NSA,Germany,,,,,
GCHQ presents its plans for using social media,,https://freesnowden.is/revelations#gchq-presents-its-plans-for-using-social-media ,GCHQ,Global,,,,,
Norway acquires a supercomputer for cryptanalysis,,https://freesnowden.is/revelations#norway-acquires-a-supercomputer-for-cryptanalysis ,NIS,Norway,,,,,
GCHQ sought “unsupervised access” to PRISM data,,https://freesnowden.is/revelations#gchq-sought-unsupervised-access-to-prism-data ,GCHQ,Global,,,,,
More targets of Upstream collection revealed,,https://freesnowden.is/revelations#more-targets-of-nsa-upstream-collection-revealed ,NSA,"The Philippines, Italy, Saudi Arabia, Libya, Pakistan, Austria, Honduras, US",,,,,
“Collect it all” is an explicit Five Eyes goal,,https://freesnowden.is/revelations#collect-it-all-is-an-explicit-five-eyes-goal ,"NSA, GCHQ, ASD, CSEC, GCSB",Global,,,,,
GCHQ and NSA aim for global coverage of in-flight phone data,,https://freesnowden.is/revelations#gchq-and-nsa-aim-for-global-coverage-of-inflight-phone-data ,"NSA, GCHQ",Global,,,,,
NSA and GCHQ recording every phone call in the Bahamas and Afghanistan,,https://freesnowden.is/revelations#nsa-recording-every-phone-call-in-the-bahamas ,"NSA, GCHQ","Bahamas, Afghanistan",,,,,
NSA harvesting online images to develop facial recognition capability,,https://freesnowden.is/revelations#nsa-harvesting-online-images-to-develop-facial-recognition-capability ,NSA,Global,,,,,
Third party countries allow NSA access to internet backbone,,https://freesnowden.is/revelations#third-party-countries-allow-nsa-access-to-internet-backbone ,NSA,"US, UK, Australia, New Zealand, Canada, Algeria, Austria, Belgium, Croatia, Czech Republic, Denmark, Ethiopia, Finland, France, Germany, Greece, Hungary, India, Israel, Italy, Japan, Jordan, Korea, Macedonia, Netherlands, Norway, Pakistan, Poland, Romania, Saudi Arabia, Singapore, Spain, Sweden, Taiwan, Thailand, Tunisia, Turkey, UAE",,,,,
FISA Court allowed NSA to surveil all but four countries,,https://freesnowden.is/revelations#fisa-court-allowed-nsa-to-surveil-all-but-four-countries ,NSA,Global,,,,,
Ordinary internet users account for most of the communications content stored by the NSA,,https://freesnowden.is/revelations#ordinary-internet-users-account-for-most-of-the-communications-content-stored-by-the-nsa ,NSA,Global,,,,,
GCHQ manipulates online polls and page views,,https://freesnowden.is/revelations#gchq-manipulates-online-polls-and-page-views ,GCHQ,Global,,,,,
Executive Order 12333 allows collection of communications content without a warrant,,https://freesnowden.is/revelations#executive-order-12333-allows-collection-of-communications-content-without-a-warrant ,NSA,Global,,,,,
GCHQ's covert mobile phones policy,,https://freesnowden.is/revelations#gchqs-covert-mobile-phones-policy ,GCHQ,Global,,,,,
Five Eyes port scanning entire countries,,https://freesnowden.is/revelations#five-eyes-port-scanning-entire-countries ,"NSA, GCHQ, CSEC",Global,,,,,
NSA sharing metadata with 23 other US government agencies,,https://freesnowden.is/revelations#nsa-sharing-metadata-with-23-other-us-government-agencies ,NSA,US,,,,,
NSA and GCHQ have direct access to the Deutsche Telekom Network,,https://freesnowden.is/revelations#nsa-and-gchq-have-direct-access-to-the-deutsche-telekom-network ,"NSA, GCHQ",Germany,,,,,
New Zealand implemented mass surveillance in 2012-2013,,https://freesnowden.is/revelations#new-zealand-implemented-mass-surveillance-in-2012-2013 ,GCSB,New Zealand,,,,,
Clandestine field operations among the NSA's “Core Secrets”,,https://freesnowden.is/revelations#clandestine-field-operations-among-the-nsas-core-secrets ,NSA,"US, South Korea, Germany, China",,,,,
Vodafone subsidiary worked with GCHQ on Tempora,,https://freesnowden.is/revelations#vodafone-subsidiary-worked-with-gchq-on-tempora ,GCHQ,Global,,,,,
Dedicated NSA units weaken and exploit mobile phone networks,,https://freesnowden.is/revelations#dedicated-nsa-units-weaken-and-exploit-mobile-phone-networks ,NSA,Global,,,,,
NSA locations in Vienna revealed,,https://freesnowden.is/revelations#nsa-locations-in-vienna-revealed ,,,,,,,
Intelligence agencies agree that encryption is necessary to protect private data,,https://freesnowden.is/revelations#intelligence-agencies-agree-encryption-necessary-protect-private-data ,,,,,,,
NSA penetrated North Korean networks in 2010,,https://freesnowden.is/revelations#nsa-penetrated-north-korean-networks-in-2010 ,,,,,,,
Canada monitoring millions of file downloads every day,,https://freesnowden.is/revelations#canada-monitoring-millions-file-downloads-every-day ,,,,,,,
How Five Eyes Agencies rely on Hackers,,https://freesnowden.is/revelations#how-five-eyes-agencies-rely-hackers ,,,,,,,
CSE collects and retains hundreds of thousands of Canadian emails every day,,https://freesnowden.is/revelations#cse-collects-retains-hundreds-thousands-canadian-emails ,,,,,,,
Inside Ironsand: New Zealand's Five Eyes spy base,,https://freesnowden.is/revelations#inside-ironsand ,,,,,,,
CIA researchers working to defeat Apple encryption,,https://freesnowden.is/revelations#cia-researchers-working-to-defeat-apple-encryption ,,,,,,,
"UK launched “long-running, large scale, pioneering” information operation against Argentina",Maybe?,https://freesnowden.is/revelations#uk-launched-information-operation-argentina ,,,,,,,
New Zealand spies on – and with – Bangladesh,Maybe?,https://freesnowden.is/revelations#new-zealand-spies-on-with-bangladesh ,,,,,,,
New Zealand's spies plotted China hack with the NSA,Maybe?,https://freesnowden.is/revelations#new-zealand-plotted-china-hack-with-nsa ,,,,,,,
How the NSA uses speech-to-text technology,,https://freesnowden.is/revelations#how-nsa-uses-speech-to-text ,,,,,,,
Spy agencies planned to implant spyware on phones using app stores,Maybe?,https://freesnowden.is/revelations#spy-agencies-planned-implant-spyware-phones-app-stores,,,,,,,
Industrial espionage in Brazil,done,https://freesnowden.is/revelations#industrial-espionage-in-brazil ,NSA,"Brazil, Colombia, Venezuela",,"Boundless Informant, Xkeyscore, PRISM","Data collection, Data mining","Email, Chat, Videos, Photos, Stored data, VoIP, File transfers, Video conferencing, Logins, Online social networking details, Special requests","Microsoft, Google, Apple, Facebook, Yahoo, AOL, PalTalk, Skype, YouTube"
Social networks of US citizens retrieved and analysed,done,https://freesnowden.is/revelations#social-networks,NSA,US,Executive Order 12333,,"Data collection, Data analysis, Contact-chaining ",Communications metadata,Communications networks
