Revelations,Check,Source documents & publications,Intelligence agencies,Countries,Target(s),Codename of surveillance programme,Brief description of surveillance,Cyber attack platforms?
Journalists' emails posted on GCHQ intranet,,https://freesnowden.is/revelations#journalists-emails-posted-on-gchq-intranet ,,,,,,
NSA and GCHQ targeted SIM card manufacturer and seized encryption keys,,https://freesnowden.is/revelations#nsa-gchq-targeted-sim-card-manufacturer ,,,,,,
New Zealand targeted Solomon islands public officials and anti-corruption campaigners,,https://freesnowden.is/revelations#new-zealand-targeted-solomon-islands-public-officials-anti-corruption-campaginers ,,,,,,
New Zealand spied on candidates for top WTO job,,https://freesnowden.is/revelations#new-zealand-spied-candidates-top-wto-job ,,,,,,
NSA monitored Al Jazeera bureau chief as a “member of Al Qaeda”,,https://freesnowden.is/revelations#nsa-monitored-al-jazeera ,,,,,,
Spy agencies planned to implant spyware on phones using app stores,Maybe?,https://freesnowden.is/revelations#spy-agencies-planned-implant-spyware-phones-app-stores,,,,,,
"50,000 networks infected with NSA malware",,https://freesnowden.is/revelations#50000-networks-infected-with-nsa-malware ,NSA,GLB,,,,
NSA plans to automate deployment of “millions” of malware implants,,https://freesnowden.is/revelations#nsa-plans-to-automate-deployment-of-millions-of-malware-implants ,NSA,GLB,,,,
Presidential Directive orders cyber-offensive targeting overseas,,https://freesnowden.is/revelations#presidential-directive-orders-cyber-offensive-targeting-overseas ,NSA,GLB,,,,
"NSA targets universities, mobile phones and fibre-optic network in China",,https://freesnowden.is/revelations#nsa-targets-universities-mobile-phones-in-China ,NSA,CHN,,,,
How NSA decides what counts as US data,,https://freesnowden.is/revelations#faa-targeting-and-minimization ,NSA,US,,,,
The Netherlands an NSA target since 1946,,https://freesnowden.is/revelations#the-netherlands-an-nsa-target-since-1946 ,NSA,The Netherlands,,,,
New Zealand spying on its neighbourhood for the Five Eyes,,https://freesnowden.is/revelations#new-zeland-spying-neighbourhood-five-eyes ,,,,,,
"Sweden's FRA engages in offensive operations, has access to XKeyScore",,https://freesnowden.is/revelations#swedens-fra-engages-in-offensive-operations-has-access-to-xkeyscore ,"FRA, NSA",SWE,,,,
NSA trying to build quantum computer,,https://freesnowden.is/revelations#nsa-trying-to-build-quantum-computer ,NSA,GLB,,,,
NSA has two data centres in China,,https://freesnowden.is/revelations#nsa-has-two-data-centres-in-china ,NSA,CHN,,,,
